Unnamed: 0,id,author_id,text,is_retweet,content
0,1655641722670440452,11348282,Our next cargo launch carrying supplies and a new set of unrolling solar panels to the is now scheduled to lift off from on Saturday June 3 Media accreditation is open  ,False,"Our next @SpaceX cargo launch, carrying supplies and a new set of unrolling solar panels to the @Space_Station, is now scheduled to lift off from @NASAKennedy on Saturday, June 3. Media accreditation is open: https://t.co/xbkHfWc98B https://t.co/CGGj4Nxg82"
1,1655606489531203586,11348282,"Happy TeacherAppreciationWeek Our thanks go out to the teachers and educators who work tirelessly to elevate the next generation of explorers

Join us this week for live webinars and readytouse resources from and ",False,"Happy #TeacherAppreciationWeek! Our thanks go out to the teachers and educators who work tirelessly to elevate the next generation of explorers.

Join us this week for live webinars and ready-to-use resources from @NASASTEM and @DoNASAScience: https://t.co/Fzgbfqa9By https://t.co/lhSPwY3zSL"
2,1655596926971068419,11348282,Two stormobserving TROPICS small satellites lifted off on a Electron rocket with two more to follow this month This marks the first completed launch for a contract designed to increase access to space for science and tech missions  ,False,"Two storm-observing TROPICS small satellites lifted off on a @RocketLab Electron rocket, with two more to follow this month. This marks the first completed launch for a @NASA_LSP contract designed to increase access to space for science and tech missions. https://t.co/VYo5qLFvQI https://t.co/CJurbnyXVm"
3,1655441714268577792,11348282,"Two TROPICS CubeSats successfully deployed from a Electron rocket after launch Signal acquisition from the pair of small satellites may take some time to establish which is not unexpected

Well provide confirmation when signal is acquired  ",False,"Two TROPICS CubeSats successfully deployed from a @RocketLab Electron rocket after launch. Signal acquisition from the pair of @NASAEarth small satellites may take some time to establish, which is not unexpected.

We'll provide confirmation when signal is acquired:… https://t.co/8mn2C0Rlxa https://t.co/SGyphgdeZ7"
4,1655388931238645768,11348282," We have final engine cutoff of Curie engine on RocketLikeAHurricane carrying two TROPICS CubeSats  

Expected Payload Deployment   

It will take several orbits to confirm signal Follow along for more mission updates  ",True,"RT @NASA_LSP: We have final engine cutoff of @RocketLab's Curie engine on #RocketLikeAHurricane carrying two TROPICS CubeSats.  

Expected Payload Deployment! 🛰🛰  

It will take several orbits to confirm signal. Follow along for more mission updates! https://t.co/wOmIEFxnfp https://t.co/bzr1AFXh8s"
5,1655377786259881993,11348282,Liftoff Two TROPICS shoeboxsized satellites are on their way to join the fleet of missions studying our home planet Together TROPICS will have the potential to gather nearhourly data on the formation and development of tropical cyclones ,False,"Liftoff! Two TROPICS shoebox-sized satellites are on their way to join the fleet of @NASAEarth missions studying our home planet. Together, TROPICS will have the potential to gather near-hourly data on the formation and development of tropical cyclones. https://t.co/wN4du9afZS"
6,1655369812489519105,11348282,LIVE Watch two small satellites for our storm tracking TROPICS mission launch to orbit Liftoff on a Electron rocket is targeted at 9pm ET 0100 UTC May 8 with a twohour window ,False,"LIVE: Watch two small satellites for our storm tracking TROPICS mission launch to orbit. Liftoff on a @RocketLab Electron rocket is targeted at 9pm ET (0100 UTC May 8), with a two-hour window. https://t.co/u3MlOV7cJM"
7,1654992622136467463,11348282,"NASA and are targeting 9pm ET Sunday May 7 0100 May 8 UTC for the first launch of our cyclonestudying TROPICS CubeSats

Tune in here and at  at 840pm ET 0040 May 8 UTC for live launch coverage from New Zealand  ",False,"NASA and @RocketLab are targeting 9pm ET Sunday, May 7 (0100 May 8 UTC), for the first launch of our cyclone-studying TROPICS CubeSats.

Tune in here and at https://t.co/z1RgZwQkWS at 8:40pm ET (0040 May 8 UTC) for live launch coverage from New Zealand: https://t.co/IWK2rhVO7i https://t.co/sc2pMH7Gfi"
8,1654837314303012865,11348282,"A new habitat is prepped for volunteers to test living in Marslike conditions for a year detects signs of water vapor on a distant planet and we celebrate BlackHoleWeekthats whats up This Week at NASA 

Wrap up the celebration with us  ",False,"A new habitat is prepped for volunteers to test living in Mars-like conditions for a year, @NASAWebb detects signs of water vapor on a distant planet, and we celebrate #BlackHoleWeek—that’s what’s up This Week at NASA. 

Wrap up the celebration with us: https://t.co/2q3HMqhAMb https://t.co/uZPJPl11D1"
9,1654809803531640833,11348282,This is the third port relocation of a Dragon crew Spacecraft Crew1 and Crew2 also relocated during their missions Learn more about why the Crew6 astronauts are moving the spacecraft and what they are making room for ,False,@MikeCrossland55 @SpaceX @Space_Station This is the third port relocation of a Dragon crew Spacecraft: Crew-1 and Crew-2 also relocated during their missions. Learn more about why the Crew-6 astronauts are moving the spacecraft and what they are making room for: https://t.co/XRrfWxzLWC
