,Unnamed: 0,id,author_id,text,is_retweet,content,pred,label
0,0,1655603472417402882,14091091,"OTD 10 years ago Hubble snapped this shot of Comet ISON

At the time the comet was about 403 million miles from Earth  between the orbits of Mars and Jupiter

Comet ISON hurtled toward our Sun at 48000 miles per hour 77000 kmhr   ",False,"#OTD 10 years ago, Hubble snapped this shot of Comet ISON!

At the time, the comet was about 403 million miles from Earth – between the orbits of Mars and Jupiter.

Comet ISON hurtled toward our Sun at 48,000 miles per hour (~77,000 km/hr):  https://t.co/nyNjs7BPXY https://t.co/Hmze0PcNuf",1,
1,1,1654516326315044865,14091091,"Thanks for joining for Black Hole Week Cant get enough For more black hole content check out 
",False,"Thanks for joining @NASA for Black Hole Week! Can’t get enough? For more black hole content, check out: 
https://t.co/WLrdUIJD5J",0,0
2,2,1654516320174587904,14091091,"To wrap up BlackHoleWeek heres a parting gift  a new Hubble image of the galaxy NGC 5283

Matter falling into a supermassive black hole creates the bright glow at the galaxys heart
 
Learn more  ",False,"To wrap up #BlackHoleWeek, here’s a parting gift – a new Hubble image of the galaxy NGC 5283!

Matter falling into a supermassive black hole creates the bright glow at the galaxy’s heart.
 
Learn more: https://t.co/NsK0pmrQM1 https://t.co/YIhmYOqB6f",0,0
3,3,1654488150125707270,14091091,"650 million lightyears away the galaxy JO175 shines in this HubbleFriday view

JO175 is classified as a jellyfish galaxy due to the tendrils of starforming gas and dust that trail behind it

Find out more  ",False,"650 million light-years away, the galaxy JO175 shines in this #HubbleFriday view!

JO175 is classified as a ""jellyfish galaxy"" due to the tendrils of star-forming gas and dust that trail behind it.

Find out more: https://t.co/AGDs4eV2AS https://t.co/Dcz2rT7eRu",1,
4,4,1654184128915427328,14091091,"NGC 547 is a bright radio galaxy meaning it has giant regions of radio emission extending well beyond its visible structure These lobes are powered by the active galactic nucleus at its center which hosts a black hole

Happy BlackHoleWeek",False,"NGC 547 is a bright radio galaxy, meaning it has giant regions of radio emission extending well beyond its visible structure. These lobes are powered by the active galactic nucleus at its center, which hosts a black hole.

Happy #BlackHoleWeek!",0,0
5,5,1654184125618614272,14091091,"These two bright spots are collectively known as Arp 308

Sitting just below the center of this image is NGC 547 an elliptical galaxy in the constellation Cetus Its companion galaxy NGC 545 is in the upper left Find out more  ",False,"These two bright spots are collectively known as Arp 308.

Sitting just below the center of this image is NGC 547, an elliptical galaxy in the constellation Cetus. Its companion galaxy, NGC 545, is in the upper left. Find out more: https://t.co/lTsxA17r6f https://t.co/DllNsBrFz2",1,1
6,6,1654153925002502147,14091091,"MayTheFourth be with you especially if you come across a TIE fighter in the stars

The galaxy UGC 6093 might look like right out of Star Wars but its just a barred spiral galaxy  meaning that it has a barshaped structure of stars in its center  ",False,"#MayTheFourth be with you... especially if you come across a TIE fighter in the stars!

The galaxy UGC 6093 might look like right out of Star Wars, but it's just a barred spiral galaxy – meaning that it has a bar-shaped structure of stars in its center: https://t.co/mjMbLvrCbM https://t.co/xUOycJMN64",1,1
7,7,1654126860484378624,14091091,"The potential planets around TW Hydrae are comparatively located about the distance that Jupiter is from our Sun

The shadows complete one rotation around the star about every 15 years  the orbital period that would be expected at that distance from the star ",False,"The potential planets around TW Hydrae are, comparatively, located about the distance that Jupiter is from our Sun.

The shadows complete one rotation around the star about every 15 years – the orbital period that would be expected at that distance from the star. https://t.co/KDt3tVfYrG",1,
8,8,1654126849986031616,14091091,"Cosmic construction zone 

Misaligned gasanddust disks around the young star TW Hydrae are likely caused by the gravitational pull of two developing planets in slightly different orbital planes

Hubble observed shadows cast on the disks as a result  ",False,"Cosmic construction zone 🚧

Misaligned gas-and-dust disks around the young star TW Hydrae are likely caused by the gravitational pull of two developing planets in slightly different orbital planes.

Hubble observed shadows cast on the disks as a result: https://t.co/QOIqVUh4rR https://t.co/Rzdl8mUXV1",1,
9,9,1653761350160601088,14091091,"Interacting galaxies known as AM 1214255 shine bright in this new view from Hubble

Both galaxies contain active galactic nuclei which are luminous central regions that host a black hole Learn more for BlackHoleWeek  ",False,"Interacting galaxies, known as AM 1214-255, shine bright in this new view from Hubble!

Both galaxies contain active galactic nuclei, which are luminous central regions that host a black hole. Learn more for #BlackHoleWeek: https://t.co/CNy2vYRNGU https://t.co/5H9ffzDfkr",0,0
