,Unnamed: 0,id,author_id,text,is_retweet,content,pred,label
0,0,1640654639765811200,18481648,"insights 
 Over the last 3 years Apple has tried hard to move 5 their production line out of China 
  Since 2013 samsungs mobile phone market share in China dropped from 18 to only 3 ",False,"#insights: 
📊 Over the last 3 years, #Apple has tried hard to move 5% their production line out of China. 
📉  Since 2013, #samsung's mobile phone market share in China dropped from 18% to only 3%. https://t.co/3v47vry28L",0,0
1,1,1638833067124215808,18481648,"videomarketing latest trends based on Wyzowls 2023 survey
96 of businesses who see video as an important part of their marketing strategy in 2023 
91 of businesses use video as a marketing tool in 2023  all time high since 2016 

BUT in the mea",False,"#videomarketing latest trends based on Wyzowl's 2023 survey.
😁96% of businesses who see video as an important part of their marketing strategy in 2023. 
☝️91% of businesses use video as a marketing tool in 2023 - all time high since 2016 

BUT in the mea…https://t.co/t86zlQCb9h",1,
2,2,1638513054391386112,18481648, genz market is expected to boom in South East Asia for the next 5 years Do you have your gotoSEA strategy ready ,False,🏄‍♀️ #genz market is expected to boom in South East Asia for the next 5 years. Do you have your go-to-SEA strategy ready? https://t.co/XgWhw0gGG6,0,1
3,3,1636866456309694467,18481648,"casestudy  Este Lauder x 100 Coffee shops
Este Lauder the iconic beauty brand has found a creative way to promote its products and reach new audiences in China In a recent cobranded campaign Este Lauder partnered with over 100 cafes in Shanghai",False,"#casestudy : Estée Lauder x 100+ Coffee shops
Estée Lauder, the iconic beauty brand, has found a creative way to promote its products and reach new audiences in China. In a recent co-branded campaign, Estée Lauder partnered with over 100 cafes in Shanghai…https://t.co/UGAyO62XX8",0,0
4,4,1635406067021512707,18481648,"Hey ChatGPT what can you do to prevent bank failure

Report shows there are nearly 30 of banks using AI in their decision making process ",False,"Hey ChatGPT, what can you do to prevent bank failure?🤔

*Report shows there are nearly 30% of banks using AI in their decision making process. https://t.co/WjNZIKITtI",1,
5,5,1634488952722735105,18481648,"2023 is the Year of AI

A new AI Chatbot product ERNIE which has been developed by Baidu since 2019 It will be launched next week on 16th March to rival ChatGPT

ChatGPT was trained on 93 of English language data while we believe that Baidu ERNI",False,"2023 is the Year of AI.

📣A new AI Chatbot product: ERNIE which has been developed by Baidu since 2019. It will be launched next week on 16th March to rival ChatGPT.

🌱ChatGPT was trained on 93% of English language data, while we believe that Baidu ERNI…https://t.co/qMgyLHEuBQ",0,0
6,6,1633972634592374790,18481648,insights Female consumers are keep  leading the ecommerce trends in China   2nd biggest ecommerce store in Chinas Consumer Research Report shows that female users consumption growth rate was 551 higher than male users in 2,False,#insights Female consumers are keep  leading the e-commerce trends in China.  https://t.co/OjHLuMST1r (2nd biggest e-commerce store in China)'s Consumer Research Report shows that female users' consumption growth rate was 5.51% higher than male users in 2…https://t.co/hv6LBEnD62,0,0
7,7,1632785224399564800,18481648,"So far there are nearly 1300 AI enterprises in London surpassing Paris and Berlin combined 

 London has become the top choice for over 1300 artificial intelligence AI companies 

 Imperial College London and UCL have the highest number of ma",False,"So far, there are nearly 1,300 #AI enterprises in London, surpassing Paris and Berlin combined! 

💪 London has become the top choice for over 1,300 artificial intelligence (AI) companies. 

🎓 Imperial College London and UCL have the highest number of ma…https://t.co/lxpflccu4C",0,
8,8,1631751700426964992,18481648,The true value of OpenAI is much more than 29 billion valuation ,False,The true value of OpenAI is much more than $29 billion valuation. https://t.co/Nb6GOvJogD,1,
9,9,1631746310129762305,18481648," The number of shortvideo users reached 1 billion in 2022 up 83 yearonyear Thats 70 of the 14 billion population in China

The latest data shows that Douyin 640m active users and Kuaishou 363m active users are still dominating the Chinese",False,"📊 The number of short-video users reached 1 billion in 2022, up 8.3% year-on-year. That's 70% of the 1.4 billion population in China.

The latest data shows that Douyin (640m active users) and Kuaishou (363m active users) are still dominating the Chinese…https://t.co/AoZPSCqWzY",1,
10,10,1631218766603337731,18481648,"insights From 2013 to 2022 the trade in goods between China and countries along the Belt and Road Initiatives has doubled from US104 trillion to US207 trillion with an average annual growth rate of 8  

The twoway investment along the BRI r",False,"#insights: From 2013 to 2022, the trade in goods between China and countries along the “Belt and Road Initiatives"" has doubled from US$1.04 trillion to US$2.07 trillion, with an average annual growth rate of 8%.  💪

The two-way investment along the BRI r…https://t.co/L04rrNUPx9",0,
11,11,1628711757832126465,18481648,"Since 2022 China has further expanded its Crossborder Ecommerce Pilot Zones to 33 cities and regions which contains 165 pilot zones 

Chinas comprehensive Crossborder Ecommerce Pilot Zones are business areas that set up in China for pilot implementa",False,"Since 2022, China has further expanded it's Cross-border Ecommerce Pilot Zones to 33 cities and regions which contains 165 pilot zones. 

China's comprehensive Cross-border Ecommerce Pilot Zones are business areas that set up in China for pilot implementa…https://t.co/xMd01I7jUy",0,
12,12,1628380271253782528,18481648,"Recent McKinsey amp Companys research shows that 375 million people will have to make a significant career shift by 2030 because of AI 
The report states that AI can replace nearly 800 million jobs in the next seven years  leaving 30 of occupants extinc",False,"Recent McKinsey &amp; Company's research shows that 375 million people will have to make a significant career shift by 2030 because of AI. 
The report states that AI can replace nearly 800 million jobs in the next seven years - leaving 30% of occupants extinc…https://t.co/0zfLeRO1wu",1,
13,13,1627686326525911046,18481648,Wandering Earth has bacame one of the top grossing movie in China Analysts suggest that Chinese Scifi film market is going to attract huge investments in the coming years ,False,"""Wandering Earth"" has bacame one of the top grossing movie in China. Analysts suggest that Chinese Sci-fi film market is going to attract huge investments in the coming years.🚀📽️ https://t.co/wiQwQAQYGK",1,
14,14,1627685696939913217,18481648,Wandering Earth has became one of the top grossing movie in China Analysts suggest that Chinese Scifi film market is going to attract huge investments in the coming years ,False,"""Wandering Earth"" has became one of the top grossing movie in China. Analysts suggest that Chinese Sci-fi film market is going to attract huge investments in the coming years.🚀📽️ https://t.co/vYxinlPalK",0,
15,15,1627670076047478784,18481648,Chinas outbound tourism market experienced a strong rebound with longdistance trips to destinations such as the UK France Norway and UAE increasing After resuming quarantinefree crossborder travel on January 8 the Chinese have shown enthusiasm f,False,"China's outbound tourism market experienced a strong rebound, with long-distance trips to destinations such as the UK, France, Norway, and UAE increasing. After resuming quarantine-free cross-border travel on January 8, the Chinese have shown enthusiasm f…https://t.co/4eEHkLrE2g",1,
16,16,1622847803595653126,18481648,Another tech giant is joining the AI race to rival chatgpt A new product ERNIE to launch in the coming months Baidu share price jumped by 13 over this news release ,False,Another tech giant is joining the AI race to rival #chatgpt. A new product ERNIE to launch in the coming months. Baidu share price jumped by 13% over this news release. https://t.co/0E6WXiDg9H,0,
17,17,1622845125868101633,18481648,One of the most anticipated product launching from Google in recent years google  is fighting for its future in the AI battlefield ,False,One of the most anticipated product launching from Google in recent years. #google  is fighting for its future in the AI battlefield. https://t.co/gZteflur8n,0,
18,18,1620752891412611072,18481648,Will the metaverse lead to a new way of social interaction and communication OR it just another new look of social network or social game ,False,"Will the #metaverse lead to a new way of social interaction and communication? OR it just another ""new look"" of social network or social game? https://t.co/Q9ELv7UzAp",1,
19,19,1620119371925315584,18481648,Will AI play a important role in the future FinTech and financial services If so how much do we trust AI to handle our financial data and manage our personal finance ,False,"Will #AI play a important role in the future #FinTech and financial services? If so, how much do we trust AI to handle our financial data and manage our personal finance? https://t.co/sqSDx8OUYv",1,
20,20,1619648744579899392,18481648,"In the past the creativity was limited by materials 
Nowadays creativity has become unlimited in the digital world

Thanks to the technology that empowers human imagination to create amazing things ",False,"In the past, the creativity was limited by materials. 
Nowadays, creativity has become unlimited in the digital world.

Thanks to the technology that empowers human imagination to create amazing things. https://t.co/yyFYiwIPrP",1,
21,21,1618395599824474112,18481648,"A wonderful evening for me to support Tim Yip   artist the Oscar award winner for best art direction for Couching Tiger Hidden Dragons panel discussion event at Christies LatesYear of the Rabbit  

timyip loveinfinity christies ",False,"A wonderful evening for me to support Tim Yip (叶锦添 - artist, the Oscar award winner for best art direction for Couching Tiger, Hidden Dragon)'s panel discussion event at Christie's Lates:Year of the Rabbit! ✨ 🍾

#timyip #loveinfinity #christies https://t.co/FAp1TmseHo",1,
22,22,1617300732868165634,18481648,"Happy Chinese new year to all

I was amazed by the quality of this AI generated artwork Hope it inspires you as well 
aiartwork ",False,"Happy Chinese new year to all✨🎍🎋

I was amazed by the quality of this AI generated artwork. Hope it inspires you as well 😉
#aiartwork https://t.co/IMCCJZgZEu",1,
23,23,1613919661816422401,18481648,In 2023 Chnas airtravel demand may return to about 80 of the same period in 2019 china chinatravel ,False,"In 2023, Chna's air-travel demand may return to about 80% of the same period in 2019. #china #chinatravel https://t.co/nSCehyiHWE",0,
24,24,1557396430922436610,18481648,Anyone knows any brilliiant Marketing Automation person please  recommened ,False,"Anyone knows any brilliiant Marketing Automation person, please  recommened💡 https://t.co/sNDrK2trNN",0,
25,25,1555155980127723525,18481648,Todays Google Doodle celebrates The Qixi Festival a traditional Valentines Day in China and some parts in East Asia Another happy day to all the lovers  ,False,Today's Google Doodle celebrates The Qixi Festival (a traditional Valentine’s Day in China and some parts in East Asia). Another happy day to all the lovers 💕 https://t.co/tvnH0cd0FR,1,
26,26,1506743439471353866,18481648,An effective marketing communication  can awaken part of human subconscious In this case closeness to nature ,False,"An effective marketing communication  can awaken part of human subconscious. In this case, ""closeness to nature"".🌱🌧️ https://t.co/Y3exIVr43P",1,
