Unnamed: 0,id,author_id,text,is_retweet,content
0,1653574356487016449,20104025," Aspiring space leader and PhD student Anne Betten is completing a 10week internship at NASAs Jet Propulsion Laboratory thanks to During the program Anne will develop her work in autonomous navigation for robotic spacecraft 

Read more  ",True,"RT @Eng_IT_Sydney: Aspiring space leader and PhD student Anne Betten is completing a 10-week internship at NASA’s Jet Propulsion Laboratory, thanks to @SmartSatCRC. 

During the program Anne will develop her work in autonomous navigation for robotic spacecraft 🚀

Read more: https://t.co/zplja0uKU3 https://t.co/MQXl5fwZHF"
1,1653550213938724864,20104025,"While the lab might look a bit different the elements stay the same 

The teaching of science is as old as the University itself with the first professors arriving in 1852 Take a look at how labs looked in 1958 vs now

USYD ",False,"While the lab might look a bit different, the elements stay the same 🧪

The teaching of science @Sydney_Uni is as old as the University itself, with the first professors arriving in 1852. Take a look at how labs looked in 1958 vs now.

#USYD https://t.co/P7bjPU4LwH"
2,1653236691581431809,20104025, Congratulations on your appointment to the National School Reform Agreement Ministerial Reference Group I can think of few people better equipped to guide reforms to improve student mental health and wellbeing in Australian schools ,True,RT @mscott: Congratulations @MTeesson on your appointment to the National School Reform Agreement Ministerial Reference Group. I can think of few people better equipped to guide reforms to improve student mental health and wellbeing in Australian schools. https://t.co/2VOTrAFriE
3,1653179981751803905,20104025,Happy first day ,False,@Supriya_S5 @SydHealthEthics @DiegoSilvaPhD @seyeabimbola @DrClaireHooker @biomedethics @hojjatsoofi @KLMacKay @JMooneySomers Happy first day @Supriya_S5 👏
4,1652888634973126656,20104025,"  Where are we with renewables What are the next steps for carbon removal solar power and hydrogen How is nanotechnology helping

Join our SydneyIdeas host and panel to hear the latest In collab with  4 MAY  Register here  ",True,"RT @Sydney_Ideas: 💡 Where are we with renewables? What are the next steps for carbon removal, solar power and hydrogen? How is nanotechnology helping?

Join our #SydneyIdeas host @all_isee and panel to hear the latest. In collab with @SydneyNano 

🔗 4 MAY | Register here: https://t.co/o1mdXTe8dE https://t.co/VS2ChEDAbx"
5,1652869280701231104,20104025,"Winnie Dunn is the General Manager of Sweatshop Literacy Movement and the editor of several critically acclaimed anthologies including Another Australia Affirm Press 2022

TEDxSydneyYouth2023 ",False,"Winnie Dunn is the General Manager of Sweatshop Literacy Movement and the editor of several critically acclaimed anthologies, including Another Australia (Affirm Press, 2022)

#TEDxSydneyYouth2023 https://t.co/jyF0j771Xf"
6,1652869278570541057,20104025,"Anjali Sharma aims to raise awareness about the disproportionate impacts of climate change particularly towards young people and people of colour and advocates for a just future where the voices and stories of marginalised communities are amplified

TEDxSydneyYouth2023 ",False,"Anjali Sharma aims to raise awareness about the disproportionate impacts of climate change, particularly towards young people and people of colour, and advocates for a just future where the voices and stories of marginalised communities are amplified.

#TEDxSydneyYouth2023 https://t.co/FNdoX5DtW0"
7,1652869276347543553,20104025,"Kelvin Tran is the cofounder of Qing Fong Dragon amp Lion Dance Team a nonforprofit community organisation whose mission is to ensure that the art form of lion dancing continues to live on in Sydney

TEDxSydneyYouth2023 ",False,"Kelvin Tran is the co-founder of Qing Fong Dragon &amp; Lion Dance Team, a non-for-profit community organisation whose mission is to ensure that the art form of lion dancing continues to live on in Sydney.

#TEDxSydneyYouth2023 https://t.co/wWylc5oP43"
8,1652869274019717120,20104025,"Michael Sun is a critic and essayist whose work revolves around queerness memory and internet ephemera

TEDxSydneyYouth2023 ",False,"Michael Sun is a critic and essayist whose work revolves around queerness, memory, and internet ephemera.

#TEDxSydneyYouth2023 https://t.co/L9jALY4Nzw"
9,1652869269926076417,20104025,"Meet the young minds creating the future

Hear the brilliant ideas of Australias inspiring future creators from artists scientists to three of our USYD alumni on the Youth 2023 stage

Register here 

TEDxSydneyYouth2023 ",False,"Meet the young minds creating the future.

Hear the brilliant ideas of Australia’s inspiring future creators from artists, scientists to three of our USYD alumni on the @tedxsydney Youth 2023 stage.

Register here: https://t.co/rHuYupAPl0

#TEDxSydneyYouth2023 https://t.co/jZLUcSsKif"
